fips,Mean_ntl_2020,Mean_ntl_2019,mean_ntl
1001,1.181162056,1.220315995,1.200739026
1003,1.650852238,1.593935703,1.622393971
1005,0.665380589,0.6304144,0.647897495
1007,0.789552621,0.705582638,0.74756763
1009,0.990542514,0.999108467,0.994825491
1011,0.496183007,0.45649361,0.476338309
1013,0.586798595,0.556143779,0.571471187
1015,2.589148566,2.704779521,2.646964044
1017,0.960069659,0.918665418,0.939367539
1019,0.612648411,0.582403878,0.597526145
1021,1.010101943,1.005847388,1.007974666
1023,0.519316299,0.473398179,0.496357239
1025,0.672839182,0.61836704,0.645603111
1027,0.554198121,0.512970017,0.533584069
1029,0.656776713,0.613338856,0.635057785
1031,1.037696567,1.034630525,1.036163546
1033,1.666764674,1.650880059,1.658822367
1035,0.943674872,1.190661977,1.067168425
1037,0.465755712,0.42928848,0.447522096
1039,0.682777533,0.635871371,0.659324452
1041,0.561786084,0.518201223,0.539993654
1043,1.36911594,1.523111748,1.446113844
1045,1.238339821,1.251596131,1.244967976
1047,0.807536653,0.764011243,0.785773948
1049,1.038541045,1.011198748,1.024869897
1051,1.588700031,1.6439098,1.616304916
1053,0.916079953,0.961692741,0.938886347
1055,2.32951495,2.527069635,2.428292293
1057,0.619298364,0.60132272,0.610310542
1059,0.772539782,0.785543823,0.779041803
1061,0.754313731,0.71595796,0.735135846
1063,0.501000368,0.458872951,0.47993666
1065,0.573400148,0.535339378,0.554369763
1067,0.65237829,0.614847864,0.633613077
1069,2.610287678,2.698374124,2.654330901
1071,0.787580117,0.801477242,0.79452868
1073,7.072797947,7.357489847,7.215143897
1075,0.593426009,0.566254747,0.579840378
1077,1.448729536,1.450006139,1.449367838
1079,0.726720184,0.712128697,0.719424441
1081,3.24523932,3.270584492,3.257911906
1083,2.021226885,2.05202174,2.036624313
1085,0.54153022,0.517476158,0.529503189
1087,0.897232959,0.832201223,0.864717091
1089,5.001379477,5.253965376,5.127672427
1091,0.636600702,0.587589574,0.612095138
1093,0.769894517,0.797398282,0.7836464
1095,1.822062757,1.832775466,1.827419112
1097,3.637979508,3.634611111,3.63629531
1099,0.664602024,0.615034031,0.639818028
1101,4.209498801,4.547205727,4.378352264
1103,2.437277531,2.611172301,2.524224916
1105,0.470820562,0.42821751,0.449519036
1107,0.609438797,0.578172183,0.59380549
1109,1.236355826,1.210883098,1.223619462
1111,0.737423647,0.681589423,0.709506535
1113,1.263606611,1.263012993,1.263309802
1115,1.579607527,1.567299416,1.573453472
1117,2.730997854,2.82338109,2.777189472
1119,0.53483835,0.499339076,0.517088713
1121,2.00907911,2.061325296,2.035202203
1123,0.909947095,0.902768543,0.906357819
1125,2.297444389,2.308853141,2.303148765
1127,1.275227848,1.354961681,1.315094765
1129,0.687533174,0.666634465,0.67708382
1131,0.486937263,0.433638504,0.460287884
1133,0.611427164,0.636839946,0.624133555
2013,0.200659056,0.21449269,0.207575873
2016,0.199172579,0.201478786,0.200325683
2020,2.392347423,2.289415266,2.340881345
2050,0.250998678,0.292239748,0.271619213
2060,0.254920809,0.259143071,0.25703194
2063,0.215106864,0.285284769,0.250195817
2066,0.276168331,0.388312327,0.332240329
2068,0.340567628,0.517090587,0.428829108
2070,0.24184845,0.275459282,0.258653866
2090,0.756871952,1.349410557,1.053141255
2100,0.240421162,0.306053108,0.273237135
2105,0.210037967,0.239151954,0.224594961
2110,0.286516484,0.31793168,0.302224082
2122,0.249626514,0.297472255,0.273549385
2130,0.196649158,0.199893862,0.19827151
2150,0.224578711,0.231030715,0.227804713
2158,0.26107643,0.305747796,0.283412113
2164,0.223433777,0.248365638,0.235899708
2170,0.299330664,0.408197452,0.353764058
2180,0.362948068,0.487912641,0.425430355
2185,0.465386578,0.531575599,0.498481089
2188,0.578845527,0.747579055,0.663212291
2195,0.216949785,0.228730376,0.222840081
2198,0.187947736,0.177230758,0.182589247
2220,0.20757678,0.22423687,0.215906825
2230,0.272117563,0.373036375,0.322576969
2240,0.426319672,0.648048919,0.537184296
2275,0.196215408,0.20821755,0.202216479
2282,0.215434924,0.280983118,0.248209021
2290,0.417499439,0.618887824,0.518193632
4001,0.329956189,0.271840025,0.300898107
4003,0.482946327,0.409291059,0.446118693
4005,0.283272039,0.237828471,0.260550255
4007,0.407779405,0.318552013,0.363165709
4009,0.347674096,0.275830662,0.311752379
4011,0.47281396,0.394609795,0.433711878
4012,0.353113146,0.287415762,0.320264454
4013,4.651608881,4.452988639,4.55229876
4015,0.389250436,0.325814096,0.357532266
4017,0.344398918,0.298739605,0.321569262
4019,0.999927335,0.903023661,0.951475498
4021,0.968271637,0.872907931,0.920589784
4023,0.634412624,0.538008172,0.586210398
4025,0.392579186,0.336954697,0.364766942
4027,0.750735069,0.68535904,0.718047055
5001,0.557073497,0.536798266,0.546935882
5003,0.581962565,0.567294072,0.574628319
5005,0.862333466,0.786921834,0.82462765
5007,2.895284898,2.715984376,2.805634637
5009,0.934143798,0.884016082,0.90907994
5011,0.475153149,0.430688027,0.452920588
5013,0.496980245,0.446893287,0.471936766
5015,0.676784787,0.601769015,0.639276901
5017,0.617746532,0.567787636,0.592767084
5019,0.527171741,0.509245431,0.518208586
5021,0.512961618,0.4788906,0.495926109
5023,0.701809482,0.67695686,0.689383171
5025,0.414299432,0.36009967,0.387199551
5027,0.838320578,0.81085854,0.824589559
5029,0.810981007,0.80174429,0.806362649
5031,2.25870366,2.275445618,2.267074639
5033,1.037086064,0.98352183,1.010303947
5035,2.140000964,2.064218218,2.102109591
5037,0.697599952,0.658529443,0.678064698
5039,0.444104389,0.397151693,0.420628041
5041,0.591007091,0.532783593,0.561895342
5043,0.572377447,0.528810728,0.550594088
5045,1.974464868,2.037883183,2.006174026
5047,0.547014161,0.491189281,0.519101721
5049,0.410437679,0.349996229,0.380216954
5051,1.578495893,1.66461607,1.621555982
5053,0.570690946,0.578964569,0.574827758
5055,1.120063113,1.101209331,1.110636222
5057,0.81521975,0.794245448,0.804732599
5059,0.806980567,0.838454205,0.822717386
5061,0.551430122,0.517723388,0.534576755
5063,0.90620202,0.905736865,0.905969443
5065,0.481082051,0.434226286,0.457654169
5067,0.705454927,0.698321251,0.701888089
5069,1.412475777,1.654403762,1.53343977
5071,0.6933239,0.66659284,0.67995837
5073,0.482518905,0.425036333,0.453777619
5075,0.603151053,0.53741234,0.570281697
5077,0.583125454,0.530834153,0.556979804
5079,0.543601071,0.53603731,0.539819191
5081,0.714459103,0.675414472,0.694936788
5083,0.535441936,0.484067985,0.509754961
5085,1.117548857,1.17078652,1.144167689
5087,0.454262707,0.37969072,0.416976714
5089,0.497701386,0.424170412,0.460935899
5091,1.325943548,1.239394218,1.282668883
5093,1.379399337,1.451440211,1.415419774
5095,0.510262753,0.459396621,0.484829687
5097,0.358225988,0.295756252,0.32699112
5099,0.483138932,0.426807746,0.454973339
5101,0.330066098,0.260863217,0.295464658
5103,0.658385864,0.61745066,0.637918262
5105,0.442516555,0.399417626,0.420967091
5107,0.729315004,0.696795142,0.713055073
5109,0.419364231,0.3635419,0.391453066
5111,0.654410827,0.614691369,0.634551098
5113,0.425278813,0.373034624,0.399156719
5115,1.043127385,1.008131918,1.025629652
5117,0.469232559,0.431901496,0.450567028
5119,6.453673784,6.903219732,6.678446758
5121,0.52465509,0.458173694,0.491414392
5123,1.084260168,1.036563303,1.060411736
5125,1.620255774,1.597896931,1.609076353
5127,0.35660394,0.299017848,0.327810894
5129,0.366428369,0.303766717,0.335097543
5131,2.415375835,2.493881316,2.454628576
5133,0.519520467,0.492652373,0.50608642
5135,0.547199892,0.500283706,0.523741799
5137,0.479308724,0.43319449,0.456251607
5139,1.018677146,1.004263968,1.011470557
5141,0.438803811,0.374683656,0.406743734
5143,2.339253036,2.236660275,2.287956656
5145,1.178623745,1.169801994,1.17421287
5147,0.455288571,0.418078567,0.436683569
5149,0.476533614,0.432021929,0.454277772
6001,8.089777303,8.530587535,8.310182419
6003,0.280659798,0.200708882,0.24068434
6005,0.657142665,0.575839598,0.616491132
6007,0.607420249,0.618582215,0.613001232
6009,0.428487918,0.348760287,0.388624103
6011,0.342091395,0.341755301,0.341923348
6013,5.289262098,5.679344786,5.484303442
6015,0.282493461,0.235006875,0.258750168
6017,0.605381304,0.584998824,0.595190064
6019,1.305249026,1.191009759,1.248129393
6021,0.425725989,0.274619095,0.350172542
6023,0.285993661,0.229296786,0.257645224
6025,0.884358406,0.797787163,0.841072785
6027,0.260222631,0.197304068,0.22876335
6029,1.256551298,1.192684635,1.224617967
6031,1.246720707,1.170394356,1.208557532
6033,0.357549883,0.298430115,0.327989999
6035,0.265542922,0.231239934,0.248391428
6037,11.74870405,12.23541036,11.99205721
6039,0.819318098,0.675952348,0.747635223
6041,0.974419841,0.978311053,0.976365447
6043,0.291557669,0.221276969,0.256417319
6045,0.276408445,0.22048249,0.248445468
6047,1.229853426,1.123987142,1.176920284
6049,0.217181198,0.173950249,0.195565724
6051,0.268992223,0.218010329,0.243501276
6053,0.735022948,0.667722273,0.701372611
6055,1.027139946,0.857426713,0.94228333
6057,0.478717919,0.448612605,0.463665262
6059,18.29336766,19.02848461,18.66092614
6061,1.650078296,1.783496803,1.71678755
6063,0.280823194,0.2048115,0.242817347
6065,2.935934092,2.743480655,2.839707374
6067,7.376719856,8.345179983,7.86094992
6069,0.424465384,0.365178591,0.394821988
6071,1.178400568,1.098563329,1.138481949
6073,3.365765396,3.351984221,3.358874809
6075,6.538049321,7.279898548,6.908973935
6077,3.911538578,3.878643075,3.895090827
6079,0.557461685,0.488270036,0.522865861
6081,3.521729341,3.830769544,3.676249443
6083,0.683951613,0.66175732,0.672854467
6085,5.655819114,5.733064796,5.694441955
6087,1.281538721,1.269796577,1.275667649
6089,0.401772549,0.397736989,0.399754769
6091,0.271188077,0.210436901,0.240812489
6093,0.235832266,0.189289752,0.212561009
6095,2.637209552,2.763111135,2.700160344
6097,0.971583611,1.072018712,1.021801162
6099,2.612071321,2.466424287,2.539247804
6101,0.822499205,0.948742322,0.885620764
6103,0.358862459,0.281004319,0.319933389
6105,0.263722188,0.172738747,0.218230468
6107,0.966572392,0.833088523,0.899830458
6109,0.360484723,0.290189351,0.325337037
6111,2.84058943,2.952747801,2.896668616
6113,1.42674059,1.540822795,1.483781693
6115,0.774551672,0.859144533,0.816848103
8001,3.989494569,4.645051373,4.317272971
8003,0.524125854,0.503378227,0.513752041
8005,5.498678141,6.296678495,5.897678318
8007,0.289332657,0.236589545,0.262961101
8009,0.268521383,0.214144588,0.241332986
8011,0.273360717,0.231671591,0.252516154
8013,2.439963899,2.891226935,2.665595417
8014,14.83029484,18.35535071,16.59282278
8015,0.357118224,0.351955738,0.354536981
8017,0.237789804,0.208422413,0.223106109
8019,0.47075974,0.485857552,0.478308646
8021,0.31206148,0.249543963,0.280802722
8023,0.293559664,0.227898223,0.260728944
8025,0.368897194,0.295150106,0.33202365
8027,0.28647614,0.236314428,0.261395284
8029,0.338746634,0.282659831,0.310703233
8031,31.8549686,39.93387417,35.89442139
8033,0.249774629,0.208262427,0.229018528
8035,2.867410222,3.179315058,3.02336264
8037,0.366285522,0.364755571,0.365520547
8039,0.342197864,0.331935261,0.337066563
8041,2.635790073,2.909328068,2.772559071
8043,0.527480711,0.541174023,0.534327367
8045,0.381480357,0.336756326,0.359118342
8047,0.800098394,0.86301435,0.831556372
8049,0.352392192,0.305745626,0.329068909
8051,0.275035184,0.231839874,0.253437529
8053,0.254593925,0.200968449,0.227781187
8055,0.287629462,0.242540774,0.265085118
