fips,Mean_2019,Mean_2020,Mean_difference
1001,1.181162056,1.220315995,0.039153939
1003,1.650852238,1.593935703,-0.056916535
1005,0.665380589,0.6304144,-0.034966189
1007,0.789552621,0.705582638,-0.083969983
1009,0.990542514,0.999108467,0.008565953
1011,0.496183007,0.45649361,-0.039689397
1013,0.586798595,0.556143779,-0.030654816
1015,2.589148566,2.704779521,0.115630955
1017,0.960069659,0.918665418,-0.041404241
1019,0.612648411,0.582403878,-0.030244533
1021,1.010101943,1.005847388,-0.004254555
1023,0.519316299,0.473398179,-0.04591812
1025,0.672839182,0.61836704,-0.054472142
1027,0.554198121,0.512970017,-0.041228104
1029,0.656776713,0.613338856,-0.043437857
1031,1.037696567,1.034630525,-0.003066042
1033,1.666764674,1.650880059,-0.015884615
1035,0.943674872,1.190661977,0.246987105
1037,0.465755712,0.42928848,-0.036467232
1039,0.682777533,0.635871371,-0.046906162
1041,0.561786084,0.518201223,-0.043584861
1043,1.36911594,1.523111748,0.153995808
1045,1.238339821,1.251596131,0.01325631
1047,0.807536653,0.764011243,-0.04352541
1049,1.038541045,1.011198748,-0.027342297
1051,1.588700031,1.6439098,0.055209769
1053,0.916079953,0.961692741,0.045612788
1055,2.32951495,2.527069635,0.197554685
1057,0.619298364,0.60132272,-0.017975644
1059,0.772539782,0.785543823,0.013004041
1061,0.754313731,0.71595796,-0.038355771
1063,0.501000368,0.458872951,-0.042127417
1065,0.573400148,0.535339378,-0.03806077
1067,0.65237829,0.614847864,-0.037530426
1069,2.610287678,2.698374124,0.088086446
1071,0.787580117,0.801477242,0.013897125
1073,7.072797947,7.357489847,0.2846919
1075,0.593426009,0.566254747,-0.027171262
1077,1.448729536,1.450006139,0.001276603
1079,0.726720184,0.712128697,-0.014591487
1081,3.24523932,3.270584492,0.025345172
1083,2.021226885,2.05202174,0.030794855
1085,0.54153022,0.517476158,-0.024054062
1087,0.897232959,0.832201223,-0.065031736
1089,5.001379477,5.253965376,0.252585899
1091,0.636600702,0.587589574,-0.049011128
1093,0.769894517,0.797398282,0.027503765
1095,1.822062757,1.832775466,0.010712709
1097,3.637979508,3.634611111,-0.003368397
1099,0.664602024,0.615034031,-0.049567993
